[07:59:14][DEBUG][CORSICA][MESH] Sucessfully compile[07:59:14][INFO][CORSICA][WIND[07:59:25][WARNING][CORSICA][MESH] Destroying mesh shader & texture...
[07:59:25][WARNING][CORSICA][MESH] Destroyed mesh shader & texture.
RE] Destroying texture ID: 1
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.74852
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.76309
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.78311
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.79846
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.81401
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.83055
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.84757
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.8641
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.88039
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.89804
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.91436
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.9306
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.94741
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.96546
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.98243
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 1.9977
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.01452
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.03136
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.0485
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.06603
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.08106
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.099
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.11476
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.13374
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.14829
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.16547
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.18191
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.20073
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.21522
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.2317
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.24891
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.26576
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.28194
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.29919
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.31546
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.33194
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.34904
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.36526
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.38239
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.39872
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.41671
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.43267
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.44953
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.46648
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.48375
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.49958
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.51676
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.53304
